Trạm,Suất bảo đảm (%),Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
17. Kim Bôi,80,"10,3","16,8","23,0","49,5","170,7","186,7","228,8","215,1","210,4","80,9","13,6","7,4","1765,2"
17. Kim Bôi,70,"14,0","21,2","28,3","75,4","202,4","246,9","274,9","248,3","241,3","124,0","21,6","10,9","1898,0"
17. Kim Bôi,60,"16,3","23,5","33,6","84,5","233,1","271,0","292,2","312,5","263,7","164,2","35,8","14,3","1978,4"
17. Kim Bôi,50,"21,7","26,4","41,0","98,5","262,6","299,9","312,4","341,8","296,7","178,6","46,0","19,0","2085,0"
17. Kim Bôi,40,"29,1","30,1","53,1","113,1","300,4","321,6","386,6","355,0","330,2","224,8","64,4","24,3","2221,0"
17. Kim Bôi,30,"45,2","35,4","60,7","130,7","317,9","340,8","407,7","409,2","393,0","293,1","74,9","28,8","2363,1"
17. Kim Bôi,20,"57,3","38,8","69,3","146,4","373,9","391,5","443,2","497,2","537,8","347,5","98,1","37,6","2569,3"
17. Kim Bôi,10,"77,0","52,1","101,0","172,2","408,7","465,2","495,5","531,9","592,1","460,8","153,7","57,1","2652,8"
17. Kim Bôi,5,"84,7","74,8","141,1","199,8","452,9","531,6","534,4","616,0","727,1","512,5","207,2","72,0","2948,4"
18. Mai Châu,95,"0,0","1,9","25,4","81,0","82,0","110,9","138,4","83,3","15,4","0,3","0,0","1258,8",
18. Mai Châu,90,"0,0","0,1","2,9","43,6","97,7","121,2","162,4","157,8","111,9","23,9","2,2","0,0","1365,3"
18. Mai Châu,80,"0,3","0,6","6,5","52,0","124,8","162,2","214,6","216,0","163,4","42,4","6,1","0,0","1471,9"
18. Mai Châu,70,"1,0","1,2","9,9","68,2","154,2","192,8","245,2","236,0","199,0","87,9","10,0","0,9","1558,8"
18. Mai Châu,60,"2,4","2,0","13,2","75,7","179,3","210,9","268,6","299,5","220,7","106,3","16,0","2,3","1657,8"
18. Mai Châu,50,"4,0","5,0","20,4","81,1","191,7","240,2","277,7","310,7","236,0","120,0","22,2","4,8","1711,4"
